"DistinguishedName","ObjectGuid","ObjectSid","AdminCount","PrimaryGroupID","MemberOf","objectClass","SamAccountName","SDHash","Owner","DaclProtected","SaclProtected","ExactSDMatch","ImplicitSDMatch","ACECount","ImplicitACECount","Created","Modified"
"CN=WAA_gmsa,OU=AdminSDHolderTests,DC=AD2025,DC=lan","167027bd-8ab4-4acc-bf13-b1340c1c8a12","S-1-5-21-1753113456-3794003277-551465778-5626","0","515","CN=Windows Authorization Access Group,CN=Builtin,DC=AD2025,DC=lan","msDS-GroupManagedServiceAccount","WAAgmsa$","9D-D9-A9-1E-B5-3A-1B-3C-DF-0F-C3-5F-E5-D0-D1-69-94-D0-FD-D3-E3-60-19-22-43-BF-8C-9F-87-41-54-44","AD2025\Domain Admins","False","False","False","False","44","18","5/12/2025 11:27:31 AM","5/12/2025 11:27:31 AM"
"CN=SO_User,OU=AdminSDHolderTests,DC=AD2025,DC=lan","8f19e34d-35c4-495f-bdf3-32e3ce57c73d","S-1-5-21-1753113456-3794003277-551465778-5631","1","513","CN=Server Operators,CN=Builtin,DC=AD2025,DC=lan","user","SOUser","14-3A-27-D1-BD-37-0A-1B-7B-B4-91-56-B0-E9-A2-BE-E7-49-DF-D4-EF-75-01-0D-0E-FE-19-FA-90-60-52-13","AD2025\Domain Admins","True","False","True","True","23","23","5/12/2025 11:27:32 AM","5/12/2025 12:27:28 PM"
"CN=SO_inetOrg,OU=AdminSDHolderTests,DC=AD2025,DC=lan","80dc4ef8-e878-4348-8dd8-5cf4191ec4ae","S-1-5-21-1753113456-3794003277-551465778-5632","1","513","CN=Server Operators,CN=Builtin,DC=AD2025,DC=lan","inetOrgPerson","SOinetOrg","14-3A-27-D1-BD-37-0A-1B-7B-B4-91-56-B0-E9-A2-BE-E7-49-DF-D4-EF-75-01-0D-0E-FE-19-FA-90-60-52-13","AD2025\Domain Admins","True","False","True","True","23","23","5/12/2025 11:27:32 AM","5/12/2025 12:27:28 PM"
"CN=SO_computer,OU=AdminSDHolderTests,DC=AD2025,DC=lan","ed3f953a-9453-41cd-80f6-e9def7b8fdd2","S-1-5-21-1753113456-3794003277-551465778-5633","1","515","CN=Server Operators,CN=Builtin,DC=AD2025,DC=lan","computer","SOcomp$","14-3A-27-D1-BD-37-0A-1B-7B-B4-91-56-B0-E9-A2-BE-E7-49-DF-D4-EF-75-01-0D-0E-FE-19-FA-90-60-52-13","AD2025\Domain Admins","True","False","True","True","23","23","5/12/2025 11:27:32 AM","5/12/2025 12:27:28 PM"
"CN=SO_gmsa,OU=AdminSDHolderTests,DC=AD2025,DC=lan","34b3b146-1835-4ff7-bb48-842367057fd7","S-1-5-21-1753113456-3794003277-551465778-5634","1","515","CN=Server Operators,CN=Builtin,DC=AD2025,DC=lan","msDS-GroupManagedServiceAccount","SOgmsa$","14-3A-27-D1-BD-37-0A-1B-7B-B4-91-56-B0-E9-A2-BE-E7-49-DF-D4-EF-75-01-0D-0E-FE-19-FA-90-60-52-13","AD2025\Domain Admins","True","False","True","True","23","23","5/12/2025 11:27:32 AM","5/12/2025 12:27:28 PM"
"CN=RRS_User,OU=AdminSDHolderTests,DC=AD2025,DC=lan","558afbd2-75c6-45ed-a718-834994a7b3b2","S-1-5-21-1753113456-3794003277-551465778-5639","0","513","CN=RDS Remote Access Servers,CN=Builtin,DC=AD2025,DC=lan","user","RRSUser","17-92-B0-5C-91-46-01-98-91-AF-E0-35-7C-00-54-D8-8D-94-08-4D-43-AA-AA-50-C6-76-C6-D5-12-DC-9C-2D","AD2025\Domain Admins","False","False","False","False","50","24","5/12/2025 11:27:32 AM","5/12/2025 11:27:32 AM"
"CN=RRS_inetOrg,OU=AdminSDHolderTests,DC=AD2025,DC=lan","1d56564d-6289-46b8-b653-cc06a5840c29","S-1-5-21-1753113456-3794003277-551465778-5640","0","513","CN=RDS Remote Access Servers,CN=Builtin,DC=AD2025,DC=lan","inetOrgPerson","RRSinetOrg","1F-68-3A-18-5D-36-19-F4-89-D2-40-45-4E-98-CC-D9-0B-53-65-BB-5B-0F-14-F7-12-C7-EA-73-A7-02-E4-4A","AD2025\Domain Admins","False","False","False","False","50","24","5/12/2025 11:27:32 AM","5/12/2025 11:27:32 AM"
"CN=RRS_computer,OU=AdminSDHolderTests,DC=AD2025,DC=lan","649dfda6-0938-46e5-98de-ce673a28fd18","S-1-5-21-1753113456-3794003277-551465778-5641","0","515","CN=RDS Remote Access Servers,CN=Builtin,DC=AD2025,DC=lan","computer","RRScomp$","81-D8-9C-12-61-0D-DE-E1-74-7F-33-BD-07-A4-35-E8-0A-8A-5A-AB-DD-FD-81-EF-D7-D4-C5-F3-B6-CF-46-27","AD2025\Domain Admins","False","False","False","False","46","19","5/12/2025 11:27:32 AM","5/12/2025 11:27:33 AM"
"CN=RRS_gmsa,OU=AdminSDHolderTests,DC=AD2025,DC=lan","1503bd26-6a1f-45b4-9f39-6a8fb681f752","S-1-5-21-1753113456-3794003277-551465778-5642","0","515","CN=RDS Remote Access Servers,CN=Builtin,DC=AD2025,DC=lan","msDS-GroupManagedServiceAccount","RRSgmsa$","9D-D9-A9-1E-B5-3A-1B-3C-DF-0F-C3-5F-E5-D0-D1-69-94-D0-FD-D3-E3-60-19-22-43-BF-8C-9F-87-41-54-44","AD2025\Domain Admins","False","False","False","False","44","18","5/12/2025 11:27:33 AM","5/12/2025 11:27:33 AM"
"CN=PU_User,OU=AdminSDHolderTests,DC=AD2025,DC=lan","27898165-b348-464b-98cc-b755c8f7a1fb","S-1-5-21-1753113456-3794003277-551465778-5647","0","513","CN=Protected Users,CN=Users,DC=AD2025,DC=lan","user","PUUser","17-92-B0-5C-91-46-01-98-91-AF-E0-35-7C-00-54-D8-8D-94-08-4D-43-AA-AA-50-C6-76-C6-D5-12-DC-9C-2D","AD2025\Domain Admins","False","False","False","False","50","24","5/12/2025 11:27:33 AM","5/12/2025 11:27:33 AM"
